証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
8060,Canon Marketing Japan Inc.,Industrials,7688.24,2.6,17.63,,3.66,4.61,2.33,3.63,3.53,5.97,6.2,3.67,4.91,5.28,33.63,8.56,8.12,8.61,8.49,3.96,7.29,3.63,9.59,15.6,9.49,8.33,8.64,99.22,32.02,160073000000.0
8061,Seika Corporation,Industrials,1048.24,4.06,14.23,,4.08,7.03,1.81,-3.03,4.31,5.18,7.7,2.42,-0.7,5.1,18.49,7.4,6.92,6.43,4.97,15.74,8.01,-6.99,7.15,9.64,9.77,9.34,9.02,74.73,26.2,20066000000.0
8065,Sato Shoji Corporation,Basic Materials,625.41,3.5,9.73,,-1.5,-3.52,5.21,-2.55,0.06,2.22,3.42,13.16,1.39,6.27,143.66,2.63,2.4,2.36,2.23,2.68,3.86,-0.37,5.04,5.32,4.85,5.05,4.87,71.28,8.2,5977000000.0
8066,Mitani Corporation,Industrials,2960.4,2.61,12.68,,7.3,7.07,9.12,6.09,7.83,9.42,8.59,10.67,6.96,9.56,18.28,9.55,9.29,7.99,6.77,0.01,4.38,1.4,11.73,43.81,12.34,10.61,9.75,95.43,18.47,143779000000.0
8070,"Tokyo Sangyo Co., Ltd.",Industrials,257.55,4.1,10.25,,16.66,15.34,-1.72,-7.25,10.09,18.58,20.78,0.05,-5.44,13.14,1278.83,5.42,3.21,-6.98,1.11,-10.58,8.75,-0.64,8.1,18.53,4.4,46.26,2.03,66.89,17.87,19872000000.0
8074,"Yuasa Co., Ltd.",Industrials,1347.71,3.58,11.24,,9.34,6.93,-7.62,3.96,2.88,14.52,11.86,17.88,6.19,14.75,73.27,3.07,2.98,2.8,2.89,3.15,0.35,4.31,9.53,15.62,8.99,9.37,9.81,96.79,11.93,48646000000.0
8075,Shinsho Corporation,Basic Materials,813.81,3.63,9.82,,7.81,6.98,10.06,8.06,8.28,10.38,8.59,11.17,9.42,10.05,17.82,1.9,2.14,2.25,2.3,-1.46,4.35,1.12,4.85,5.48,5.72,6.07,6.93,64.24,6.49,17428000000.0
8076,Canox Corporation,Basic Materials,208.65,5.0,9.68,,32.53,22.06,23.38,-31.46,25.99,35.88,22.36,23.79,-31.05,27.34,4.14,1.58,1.45,1.47,1.56,-8.24,0.31,13.72,2.8,3.27,2.76,2.74,2.63,55.14,5.54,9042926000.0
8077,TORQ Inc.,Industrials,47.72,2.75,6.29,,42.61,-1.42,37.16,-42.59,26.12,43.2,-0.42,39.09,-18.23,27.29,-77.36,4.48,4.04,3.55,2.05,0.57,3.0,6.25,2.57,2.97,2.32,2.05,1.24,53.78,22.87,3631113000.0
8078,"Hanwa Co., Ltd.",Industrials,3714.6,3.45,9.98,,18.97,0.44,2.3,73.05,7.24,20.01,2.73,4.9,76.52,9.21,47.32,2.19,2.41,2.04,2.4,4.23,5.04,-8.85,5.31,5.98,5.7,5.09,6.54,54.71,5.3,86398000000.0
8079,Shoei Foods Corporation,Consumer Defensive,728.61,2.05,18.95,,-3.36,0.68,5.96,-1.48,1.09,-0.84,4.24,8.68,1.14,4.03,-62.1,3.96,4.21,3.68,3.63,8.41,5.12,6.21,4.44,5.21,4.49,4.0,3.99,73.7,15.73,11505001000.0
8081,Kanaden Corporation,Industrials,560.51,3.99,14.12,,15.59,8.31,6.16,-1.95,10.02,16.48,9.12,6.8,-0.62,10.8,7.88,3.66,3.58,3.91,3.73,15.87,8.08,9.26,6.94,13.17,6.33,6.39,5.99,,13.83,24126000000.0
8084,Ryoden Corporation,Technology,1013.76,2.65,19.46,,1.64,17.06,9.28,-2.71,9.33,5.98,18.2,9.81,-0.2,11.33,28.07,2.47,2.54,3.21,3.6,-1.4,-16.69,-0.5,3.91,5.99,4.34,6.29,7.23,97.89,13.98,33590000000.0
8085,"Narasaki Sangyo Co., Ltd.",Industrials,208.67,3.31,9.47,,8.46,-7.52,13.35,9.69,4.76,14.44,0.29,15.14,11.66,9.96,908.47,2.55,2.73,2.78,2.81,6.91,4.71,7.53,6.76,11.95,7.76,7.91,9.23,93.39,10.69,13493000000.0
8086,Nipro Corporation,Healthcare,2359.18,2.22,19.72,,23.17,29.02,30.92,4.41,27.7,23.17,29.02,30.92,4.41,27.7,0.0,5.7,4.13,3.81,3.25,2.47,9.85,7.63,2.27,2.55,1.08,1.69,0.8,34.07,31.53,97835000000.0
8088,Iwatani Corporation,Industrials,4890.07,2.22,10.25,,2.72,-0.45,2.85,4.2,1.71,12.09,10.72,11.22,10.53,11.34,85.44,4.22,5.23,5.97,4.42,2.89,4.14,-6.44,3.91,4.07,5.0,5.83,6.41,69.36,25.96,27670000000.0
8089,Nice Corporation,Industrials,232.61,4.76,9.16,,-29.64,-38.88,29.77,45.14,-12.92,-13.77,-21.2,43.43,55.7,2.82,-55.75,2.05,1.9,1.95,2.24,6.62,7.61,-4.43,3.18,4.13,3.26,3.99,4.89,56.08,13.98,23822000000.0
8091,"Nichimo Co., Ltd.",Consumer Defensive,201.22,4.19,9.2,,-13.02,-18.12,27.73,-3.85,-1.14,-5.77,-6.68,32.94,4.53,6.83,-93.57,1.97,2.24,1.58,2.27,4.39,4.81,0.73,2.91,3.23,3.74,2.36,3.69,45.42,8.87,6869000000.0
8093,"Kyokuto Boeki Kaisha, Ltd.",Technology,210.33,4.19,11.67,,24.2,-3.79,-4.8,7.55,5.2,24.2,-3.79,-4.8,7.55,5.2,0.0,4.01,3.85,2.56,2.36,21.81,21.35,2.35,4.25,5.85,4.51,2.71,2.53,88.29,18.37,9909000000.0
8095,"Astena Holdings Co., Ltd.",Industrials,207.35,3.54,8.96,,1.05,7.96,-12.16,-18.2,-1.05,16.36,23.38,7.93,-3.58,15.89,137.63,4.81,4.86,2.17,1.65,8.19,11.56,4.73,4.64,5.84,11.65,1.85,0.79,58.69,34.85,10190000000.0
8097,"San-Ai Obbli Co., Ltd.",Energy,1512.4,4.18,16.55,,10.08,-3.85,12.48,8.33,6.24,15.28,0.62,18.0,12.51,11.3,261.91,2.02,1.8,2.56,2.35,-6.55,-0.79,1.81,7.08,12.17,6.78,9.7,9.0,97.92,9.72,49728000000.0
8098,"Inabata & Co.,Ltd.",Basic Materials,2404.86,3.21,11.7,,2.64,5.72,10.7,2.9,6.35,8.76,8.28,12.55,4.12,9.86,38.51,3.14,3.08,2.77,2.76,-0.61,9.38,4.13,5.95,7.78,6.59,5.95,5.91,71.56,10.06,76836000000.0
8101,GSI Creos Corporation,Consumer Cyclical,315.65,4.09,12.62,,15.34,8.59,0.11,-5.67,8.01,15.34,8.59,0.58,-5.45,8.17,27.14,1.91,1.79,1.97,1.4,13.98,13.23,11.55,5.16,6.31,5.5,4.83,3.25,75.14,9.9,7935000000.0
8103,Meiwa Corporation,Industrials,360.87,4.85,11.62,,11.29,11.48,15.05,11.13,12.61,12.21,12.01,15.68,11.26,13.3,5.33,2.51,2.28,1.88,2.33,5.23,-0.98,1.03,6.14,8.18,6.54,4.75,4.72,94.18,8.65,11486000000.0
8104,KUWAZAWA Holdings Corporation,Basic Materials,105.48,4.24,9.89,,24.13,24.35,-12.45,12.48,12.01,24.13,24.35,-12.45,12.48,12.01,0.0,2.13,2.24,2.01,1.33,-0.92,0.89,0.81,4.55,8.94,5.45,4.26,2.61,96.45,15.0,9330000000.0
8105,Bitcoin Japan Corporation,Consumer Cyclical,48.99,0.0,,,-8.61,-7.13,1.27,-5.62,-4.82,-8.46,-6.74,1.53,-5.33,-4.56,3.2,-15.61,-11.46,-5.16,-3.0,-4.51,-16.11,-4.48,-11.7,-47.47,-13.59,-4.56,-3.96,,33.53,3015005000.0
8107,Kimuratan Corporation,Consumer Cyclical,82.61,0.0,,,8.45,3.59,0.37,-0.58,4.14,12.93,4.0,0.81,-0.46,5.91,32.91,3.6,7.67,2.9,-20.41,44.06,36.86,-63.79,1.8,1.89,-3.25,0.43,-10.5,17.88,29.58,413417000.0
8111,Goldwin Inc.,Consumer Cyclical,2926.35,3.35,12.17,,8.97,8.35,6.34,6.91,7.89,8.97,8.35,6.34,6.91,7.89,0.0,18.8,16.56,18.79,19.04,3.94,4.25,10.3,14.9,27.0,16.01,17.59,20.02,99.24,53.05,58497000000.0
8113,Unicharm Corporation,Consumer Defensive,16733.06,2.31,26.14,,6.15,5.84,7.41,3.54,6.47,7.86,8.19,9.71,5.51,8.59,24.7,10.79,13.63,13.88,12.83,-4.42,5.01,4.87,8.51,15.16,11.92,13.36,12.08,98.55,39.1,353371000000.0
8115,"MOONBAT Co.,Ltd.",Consumer Cyclical,59.4,5.21,10.41,,4.33,11.71,14.06,18.0,10.03,5.77,13.19,15.32,18.11,11.43,14.81,5.14,5.88,4.1,1.19,-0.11,12.6,10.74,6.45,7.48,7.39,7.81,1.14,69.48,44.33,1107773000.0
8117,Central Automotive Products Ltd.,Consumer Cyclical,1165.54,3.16,12.08,,7.56,5.47,5.29,2.54,6.11,7.77,7.26,6.48,4.88,7.17,15.19,24.37,26.57,25.85,23.29,12.36,5.66,9.62,12.93,24.16,13.85,14.22,13.88,,42.0,29250222000.0
8118,"KING Co., Ltd.",Consumer Cyclical,188.12,1.53,30.12,,3.76,2.57,3.66,5.99,3.33,7.58,4.68,5.3,8.2,5.85,42.15,10.08,10.6,11.63,12.75,-3.95,-4.57,1.5,2.25,3.87,2.97,2.5,3.36,98.4,57.93,9827000000.0
8119,Sanyei Corporation,Consumer Cyclical,75.09,3.91,13.21,,9.77,48.09,2.57,10.76,20.14,11.81,50.28,7.05,12.96,23.05,28.38,2.83,5.26,3.17,0.62,-8.85,8.65,-5.09,2.32,4.14,7.1,4.22,-2.03,84.82,23.87,8092398000.0
8123,"T.Kawabe & Co., Ltd.",Consumer Cyclical,24.98,3.63,13.36,,21.87,6.39,5.77,30.93,11.34,28.45,15.4,13.76,33.53,19.2,46.58,1.48,2.41,1.93,0.98,2.09,-2.29,4.12,1.21,1.49,3.29,2.05,0.71,78.19,43.25,1783715000.0
8125,"Wakita & Co.,LTD.",Industrials,976.67,5.12,28.15,,12.07,15.46,11.56,-1.81,13.03,12.78,15.98,13.08,4.27,13.95,6.81,5.67,6.92,6.25,7.31,0.98,4.14,12.41,3.29,4.08,3.89,3.22,3.68,98.54,29.37,19763000000.0
8127,Yamato International Inc.,Consumer Cyclical,108.11,2.62,74.58,,-12.2,8.06,2.99,9.45,-0.38,-8.35,9.6,4.38,10.39,1.88,0.55,-1.04,1.24,1.46,0.75,-8.02,1.62,7.23,-0.65,-1.0,1.28,1.69,0.68,96.25,56.37,6380134000.0
8129,"Toho Holdings Co., Ltd.",Healthcare,2591.3,4.57,15.35,,3.75,-12.52,21.67,-0.98,4.3,7.43,-10.29,23.13,-0.0,6.76,11.39,1.05,1.24,1.31,1.18,2.3,2.83,6.08,3.88,5.87,4.82,4.67,3.92,97.83,7.88,94361000000.0
8130,Sangetsu Corporation,Consumer Cyclical,1884.27,4.88,12.88,,5.4,7.32,4.14,7.53,5.62,7.6,10.22,6.8,9.22,8.21,32.15,9.4,9.05,10.06,11.52,3.03,5.54,7.86,10.13,13.82,9.84,12.08,13.31,89.52,31.36,35714000000.0
8131,"Mitsuuroko Group Holdings Co.,Ltd.",Energy,1414.76,2.63,15.72,,1.84,9.15,1.57,3.95,4.19,7.32,12.7,7.45,8.81,9.16,60.6,3.64,2.58,3.99,3.81,-0.05,9.89,-4.51,6.3,9.24,5.33,7.0,6.78,75.76,13.9,44401000000.0
8132,"Sinanen Holdings Co., Ltd.",Energy,806.41,1.61,18.2,,8.17,13.06,-1.17,0.48,6.69,8.17,13.06,-1.17,0.48,6.69,0.0,1.47,1.26,-0.2,0.26,-5.79,-8.95,1.76,5.39,7.33,6.06,-16.37,-0.22,94.33,13.1,16871000000.0
8133,"Itochu Enex Co.,Ltd.",Industrials,2608.31,2.99,16.23,,11.33,5.87,7.73,7.59,8.31,17.28,12.16,13.24,13.34,14.23,42.59,2.67,3.0,1.97,2.17,-7.92,-4.03,-4.81,8.72,13.41,11.42,7.93,9.12,79.89,10.69,64347000000.0
8135,Zett Corporation,Consumer Cyclical,84.17,4.2,8.63,,2.16,23.69,6.59,16.44,10.81,3.39,24.32,8.13,17.51,11.95,19.2,2.14,1.94,1.69,2.01,6.05,6.45,4.15,5.38,12.92,5.22,5.15,5.61,98.56,17.37,9099000000.0
8136,"Sanrio Company, Ltd.",Consumer Cyclical,14985.64,1.35,27.66,,3.13,2.47,1.32,0.7,2.31,3.51,2.72,1.48,0.77,2.57,10.22,40.12,35.65,26.96,18.25,33.94,44.93,37.67,31.8,121.85,26.54,14.47,10.8,92.86,77.32,125433000000.0
8137,Sun-Wa Technos Corporation,Technology,675.92,2.97,20.38,,5.37,13.38,6.08,-0.92,8.28,5.56,13.46,6.25,-0.81,8.42,2.26,2.74,2.51,3.74,4.22,6.27,-15.98,-8.22,4.64,7.81,3.93,7.07,10.06,85.78,14.08,24591000000.0
8138,Sankyo Kasei Corporation,Basic Materials,37.58,2.36,4.99,,27.75,-18.01,29.93,12.34,13.22,29.21,-17.73,31.62,16.17,14.37,2.91,1.89,1.71,1.46,1.27,0.3,3.4,-1.91,3.93,5.39,3.29,3.13,2.22,,9.93,2500149000.0
8139,Nagahori Corporation,Consumer Cyclical,335.22,0.69,30.49,,-5.44,-3.27,-2.16,-0.26,-3.62,-2.89,-2.9,-1.54,-0.06,-2.44,-47.08,5.86,3.16,4.68,3.1,28.35,4.91,23.46,4.49,5.05,2.18,3.34,0.86,49.42,24.52,3086322000.0
8141,"Shinko Shoji Co., Ltd.",Technology,447.09,1.18,40.51,,12.63,70.73,10.17,-2.33,31.18,13.02,70.94,10.51,-2.02,31.49,2.13,1.21,0.55,2.77,3.98,-14.56,-34.03,-1.8,0.83,1.74,0.48,4.7,7.18,92.32,10.56,30333000000.0
8142,"Toho Co., Ltd.",Consumer Defensive,445.3,4.32,8.64,,17.82,14.57,20.89,9.23,17.76,17.82,14.57,20.89,9.23,17.76,0.0,3.02,3.04,3.19,1.69,5.39,0.63,13.62,9.22,11.69,9.58,9.86,10.88,67.74,19.24,11200000000.0
8143,"Lapine Co., Ltd.",Consumer Cyclical,3.4,0.0,,,-139.02,-137.0,-195.1,106.08,-157.04,-139.02,-132.79,-194.11,106.08,-155.31,-1.23,-14.72,-17.65,-14.64,-19.68,-8.28,-12.77,-29.03,-11.3,-14.02,-15.28,-13.83,-20.66,31.68,62.16,490325000.0
8144,"Denkyo Group Holdings Co.,Ltd.",Technology,79.88,3.15,24.29,,-3.27,12.68,-14.87,-7.51,-1.82,-0.4,14.2,-0.89,8.1,4.3,-759.4,0.34,0.2,-0.49,0.11,-4.1,-0.51,3.41,0.39,0.46,0.24,-0.18,0.06,95.94,20.36,4524000000.0
8147,"Tomita Co., Ltd.",Industrials,73.5,1.76,11.02,,25.22,3.76,-11.6,12.26,5.79,25.77,4.82,-10.51,12.68,6.69,4.59,2.96,3.56,2.85,2.76,5.81,1.7,5.54,3.49,8.99,4.09,3.46,3.28,99.01,18.22,7989418000.0
8150,"Sanshin Electronics Co., Ltd.",Technology,392.99,4.39,7.93,,13.57,1.56,13.41,-2.27,9.51,14.52,10.13,14.61,-1.98,13.09,33.11,4.01,3.68,4.1,4.25,9.55,12.23,-12.98,7.53,8.82,6.37,6.52,8.05,75.59,10.7,9680000000.0
8151,TOYO Corporation,Technology,378.45,3.87,15.55,,3.48,5.64,-5.22,-15.39,1.3,5.8,10.86,-0.28,4.82,5.46,-562.4,5.88,9.61,5.23,8.81,-7.09,24.39,6.35,3.78,4.65,8.5,3.56,5.39,94.8,43.64,5740090000.0
8152,SOMAR Corporation,Basic Materials,141.26,1.41,9.49,,7.49,3.5,11.45,-6.88,7.48,14.46,10.9,16.3,-2.7,13.89,48.63,8.35,8.47,6.74,3.18,2.76,13.93,6.34,5.59,9.32,7.91,7.57,3.03,79.13,21.85,11391043000.0
8153,"Mos Food Services, Inc.",Consumer Cyclical,1220.78,0.87,26.69,,3.84,3.76,4.71,-2.43,4.1,7.55,6.02,8.32,1.16,7.3,43.41,6.38,5.43,4.5,0.05,6.85,3.36,9.4,7.39,13.59,6.21,4.75,-0.22,90.9,46.47,28391000000.0
8154,"Kaga Electronics Co.,Ltd.",Technology,2299.55,2.92,7.69,,-3.05,8.43,10.28,11.49,5.22,-1.07,10.89,12.78,13.29,7.53,-47.26,4.22,4.31,4.76,5.3,20.29,0.94,-10.75,8.14,12.34,8.47,10.27,13.51,77.29,12.95,89847000000.0
8157,"Tsuzuki Denki Co., Ltd.",Industrials,758.72,4.6,11.7,,6.62,2.77,5.28,4.18,4.89,8.33,4.49,6.53,5.62,6.45,25.98,7.88,6.6,5.16,4.13,5.56,-21.3,0.77,10.25,45.35,8.76,8.77,7.78,85.0,24.07,43467000000.0
8158,"Soda Nikka Co., Ltd.",Basic Materials,297.16,3.38,12.57,,5.22,1.36,2.97,-1.93,3.18,6.9,11.08,11.54,0.72,9.84,62.1,3.73,3.24,3.45,2.78,2.37,1.58,2.22,4.58,5.89,4.28,4.27,3.74,95.63,14.42,8116000000.0
8159,"Tachibana Eletech Co., Ltd.",Technology,884.57,2.98,12.21,,6.72,17.6,0.81,-0.77,8.38,8.9,18.61,2.4,-0.32,9.97,32.07,3.3,3.74,4.66,4.54,3.36,-4.73,1.66,4.49,5.82,5.33,7.2,8.0,91.03,12.92,26186000000.0
8160,"Kisoji Co., Ltd.",Consumer Cyclical,694.42,1.22,40.12,,4.88,-0.89,2.38,-1.33,2.12,7.82,2.07,6.11,2.93,5.33,80.55,5.34,5.09,4.24,-1.26,2.52,0.46,15.36,4.77,7.9,9.44,4.96,-1.55,60.24,68.43,15368000000.0
8163,"SRS Holdings Co.,Ltd.",Consumer Cyclical,634.79,0.66,41.75,,2.88,2.15,2.38,0.15,2.47,7.67,5.79,5.87,3.27,6.44,61.57,3.99,3.97,3.58,-1.11,13.25,12.04,10.5,5.43,8.9,5.14,8.3,-2.41,54.04,65.6,13287030000.0
8165,"Senshukai Co., Ltd.",Consumer Cyclical,47.24,0.0,0.79,,-75.1,-82.78,-89.58,-161.57,-82.49,-65.09,-73.22,-82.57,-124.23,-73.63,-12.31,-6.14,-7.53,-11.28,-13.81,-8.26,-6.84,-16.45,-14.68,-24.47,-21.82,-27.05,-31.79,96.09,50.71,6937000000.0
8166,"Taka-Q Co., Ltd.",Consumer Cyclical,32.5,0.0,6.44,,-9.71,-6.39,-9.98,-1.31,-8.69,-4.62,-3.02,-7.95,4.6,-5.2,-82.27,0.23,2.11,-0.4,-6.56,-10.19,-3.76,-16.28,0.48,1.11,7.08,-5.75,-40.11,91.08,61.84,2039848000.0
8167,"Retail Partners Co., Ltd.",Consumer Defensive,586.88,2.88,11.82,,16.41,15.06,19.6,13.97,17.02,16.41,15.06,19.6,13.97,17.02,0.0,2.33,2.56,2.68,2.25,4.29,5.78,7.4,4.37,5.8,4.81,4.8,3.73,87.13,26.64,26018000000.0
8173,Joshin Corporation,Consumer Cyclical,1081.77,2.36,32.94,,7.99,9.3,-3.95,-2.01,4.45,12.1,15.14,2.11,6.58,9.78,119.95,1.24,0.91,2.07,2.03,8.28,-0.11,-1.17,2.33,2.41,1.47,3.36,3.69,76.04,24.68,4529000000.0
8174,"Nippon Gas Co., Ltd.",Utilities,3285.47,1.22,22.59,,6.21,5.96,4.2,3.63,5.46,8.58,8.5,7.13,5.96,8.07,32.9,10.21,9.27,8.98,7.28,4.21,2.93,-6.53,13.62,17.41,11.95,11.1,9.78,56.64,36.81,23929000000.0
8179,"ROYAL HOLDINGS Co., Ltd.",Consumer Cyclical,1334.17,1.3,22.73,,4.2,1.86,5.34,4.03,3.8,11.83,7.77,9.4,5.54,9.67,61.23,4.65,4.84,4.38,2.11,8.77,9.51,33.58,9.7,12.78,10.43,8.49,3.38,54.71,71.08,19554000000.0
8181,"Totenko Co., Ltd.",Consumer Cyclical,25.3,1.53,4.09,,18.99,24.46,19.43,-10.02,20.96,24.79,28.73,20.67,-9.98,24.73,14.74,10.72,10.4,9.08,-16.38,2.06,0.67,26.32,6.76,8.29,4.92,3.92,-6.47,84.38,60.02,1873805000.0
8185,"Chiyoda Co., Ltd.",Consumer Cyclical,338.47,5.49,12.0,,-15.26,5.58,6.22,-12.67,-1.15,-12.2,8.34,8.82,-8.8,1.65,12.51,1.34,2.39,1.15,-2.42,-11.39,-1.59,1.3,0.43,0.86,5.59,2.03,-4.94,98.79,47.09,26398000000.0
8194,Life Corporation,Consumer Defensive,2348.95,2.63,12.48,,26.34,-0.16,10.88,0.77,12.35,31.71,9.5,17.75,10.17,19.65,52.44,2.95,2.97,2.98,2.5,3.62,5.04,5.79,10.7,12.5,8.45,9.45,7.12,84.97,33.95,26592000000.0
8198,"Maxvalu Tokai Co.,Ltd.",Consumer Defensive,1063.4,2.58,10.38,,12.38,-0.66,11.17,3.22,7.63,18.5,9.18,17.14,9.87,14.94,58.35,3.52,3.73,3.68,2.93,2.0,2.91,4.45,10.91,12.55,11.03,10.81,8.9,,28.46,12882000000.0
8200,"Ringer Hut Co.,Ltd.",Consumer Cyclical,602.77,0.56,34.89,,1.65,1.48,1.54,-1.17,1.56,4.89,5.18,4.8,2.27,4.96,68.55,3.15,3.87,2.5,-0.77,2.94,8.92,6.56,7.24,8.07,5.61,3.8,-5.76,62.5,65.75,2375178000.0
8202,"Laox Holdings CO.,LTD.",Consumer Cyclical,135.3,2.7,38.95,,-7.47,-3.73,-7.53,-17.22,-6.24,-2.42,-0.52,-1.38,-15.34,-1.44,-424.86,0.12,0.23,0.47,0.09,-6.47,2.21,9.18,0.37,0.56,0.55,1.1,0.21,87.69,34.3,8962000000.0
8203,Mr Max Holdings Ltd.,Consumer Defensive,250.27,3.86,9.22,,-1.46,13.08,4.37,3.78,5.33,16.07,21.73,15.72,15.86,17.84,73.7,3.01,2.8,2.33,3.65,8.14,5.4,2.1,5.14,5.33,4.78,4.74,6.74,63.78,24.84,2110000000.0
8207,"Ten Allied Co.,Ltd.",Consumer Cyclical,120.5,0.0,,,-1.61,1.3,0.59,-4.49,0.09,0.41,2.44,2.47,-2.6,1.77,206.17,-1.0,1.95,1.51,-14.0,1.73,6.65,17.46,-3.21,-8.16,3.51,1.22,-27.84,66.6,70.17,2567456000.0
8214,AOKI Holdings Inc.,Consumer Cyclical,1443.62,7.08,15.24,,3.67,7.63,3.95,8.4,5.08,12.22,15.06,12.19,12.1,13.16,62.29,8.71,8.12,7.38,5.81,0.96,2.65,6.55,6.13,7.25,6.04,4.72,4.05,84.67,42.61,27008000000.0
8217,"Okuwa Co., Ltd.",Consumer Cyclical,326.27,3.26,124.15,,23.35,20.22,29.71,18.18,24.43,23.35,20.22,29.71,18.18,24.43,0.0,0.75,0.53,1.17,1.19,1.0,1.12,0.2,0.71,0.81,1.31,1.66,2.55,77.95,31.48,11374000000.0
8218,"Komeri Co.,Ltd.",Consumer Cyclical,1824.09,1.49,12.71,,3.33,3.03,3.31,4.71,3.22,13.06,12.67,11.71,10.89,12.48,74.11,5.98,5.91,5.96,6.87,1.63,2.28,-2.28,5.47,5.71,5.39,5.54,6.87,88.63,34.54,12130000000.0
8219,"Aoyama Trading Co., Ltd.",Consumer Cyclical,,5.04,15.95,,,,,,,,,,,,,5.6,6.42,6.15,4.03,-3.42,1.05,4.37,3.02,3.97,3.72,4.03,2.02,70.91,51.94,59513000000.0
8225,"Takachiho Co.,Ltd.",Consumer Cyclical,25.49,3.05,7.77,,19.21,11.25,10.99,13.86,13.82,23.77,14.78,13.08,15.38,17.21,19.68,5.01,5.12,5.48,4.49,13.52,6.5,9.29,10.23,15.59,9.59,13.91,13.2,71.58,28.48,1133686000.0
8226,Rikei Corporation,Technology,57.3,1.88,7.67,,17.62,-6.4,-17.75,-16.9,-2.18,18.64,-5.62,-17.16,-16.78,-1.38,-3.91,6.33,5.95,4.68,2.13,4.33,54.35,17.95,9.43,17.01,8.92,5.72,2.11,55.68,19.08,4111943000.0
8227,"SHIMAMURA Co., Ltd.",Consumer Cyclical,6712.3,2.52,15.98,,3.55,6.13,4.98,5.54,4.89,7.16,7.87,6.13,6.19,7.05,30.44,8.77,8.88,8.69,8.63,5.2,4.75,3.07,8.74,21.47,8.86,9.07,9.19,,34.97,296995000000.0
8230,"Hasegawa Co., Ltd.",Consumer Cyclical,55.84,4.85,19.18,,-1.22,-29.67,-5.1,8.83,-12.0,7.65,2.69,11.46,18.55,7.27,488.38,3.66,5.68,7.59,8.21,-0.5,-0.34,-1.43,2.16,2.53,5.25,7.58,8.67,75.06,63.85,2467000000.0
8233,"Takashimaya Company, Limited",Consumer Cyclical,6147.44,1.91,15.93,,1.4,7.11,5.15,1.71,4.55,8.76,11.79,9.68,5.94,10.08,56.85,10.87,11.54,9.86,7.34,-1.23,6.94,5.12,4.64,5.2,6.06,5.64,4.29,53.69,60.85,79187000000.0
8237,"Matsuya Co., Ltd.",Consumer Cyclical,1129.48,0.52,53.18,,2.82,-1.28,-0.32,-1.49,0.41,4.18,2.71,2.04,2.08,2.98,98.55,5.78,9.33,7.22,1.02,-5.02,16.65,19.92,3.26,3.61,5.85,6.37,0.73,51.86,54.28,4744000000.0
8242,H2O Retailing Corporation,Consumer Defensive,3222.25,1.69,11.34,,7.04,4.75,5.82,-0.13,5.87,15.0,14.36,15.31,9.4,14.89,60.66,4.76,5.06,3.98,1.81,-0.23,3.71,4.67,6.32,7.26,5.27,6.53,2.26,69.04,45.31,57812000000.0
8244,"Kintetsu Department Store Co., Ltd.",Consumer Cyclical,757.39,1.08,20.08,,14.01,3.17,8.7,6.17,8.63,20.11,8.89,13.43,9.99,14.14,43.28,5.36,4.65,3.44,1.45,8.99,1.41,5.25,8.67,9.6,8.71,6.45,3.24,95.54,50.83,4658000000.0
8247,"Daiwa Co.,Ltd.",Consumer Cyclical,17.95,0.0,,,48.68,7.85,-8.1,22.71,16.14,60.94,37.08,22.86,31.73,40.29,78.12,1.19,1.19,1.35,0.65,-2.74,-0.62,4.32,0.95,1.19,1.25,2.21,0.34,45.21,53.02,2562620000.0
8252,"Marui Group Co., Ltd.",Financial Services,5176.34,4.7,18.3,,-8.88,-0.87,7.34,3.23,-0.8,-8.88,-0.87,7.34,3.23,-0.8,0.0,18.14,17.5,17.44,17.8,8.83,8.15,7.97,3.61,3.83,3.43,3.18,3.1,22.69,87.51,53548000000.0
8253,"Credit Saison Co., Ltd.",Financial Services,6713.0,3.48,11.01,,-22.91,-40.22,-34.66,-21.71,-32.6,-20.21,-37.12,-31.79,-19.38,-29.71,-10.25,36.34,32.73,28.27,24.64,10.98,17.11,9.88,3.17,3.26,2.84,2.36,1.99,17.65,86.54,112317000000.0
8254,"Saikaya Department Store Co.,Ltd.",Consumer Cyclical,19.27,1.7,44.63,,-4.63,-2.54,15.36,-55.9,2.73,21.29,13.48,19.05,-45.27,17.94,86.66,2.48,2.23,2.77,-2.52,-6.41,-4.89,-62.32,1.16,1.37,1.1,0.98,-3.88,13.97,49.54,1434255000.0
