証券コード,企業名,業種,時価総額（億円）,配当利回り(%),PER,過去3年EPS年平均増減率(%),最新年度真FCF利回り(%),1年前真FCF利回り(%),2年前真FCF利回り(%),3年前真FCF利回り(%),3年間平均真FCF利回り(%),最新年度営業CF利回り(%),1年前営業CF利回り(%),2年前営業CF利回り(%),3年前営業CF利回り(%),3年間平均営業CF利回り(%),3年間平均CF設備投資率(%),最新年度営業利益率(%),1年前営業利益率(%),2年前営業利益率(%),3年前営業利益率(%),最新年度売上高増加率(%),1年前売上高増加率(%),2年前売上高増加率(%),ROIC(%),参考ROIC（現預金控除後）(%),1年前ROIC(%),2年前ROIC(%),3年前ROIC(%),自己資本比率(%),粗利率(%),現預金等（円）
1721,COMSYS Holdings Corporation,Industrials,6245.4,2.51,17.55,,4.62,0.98,4.09,8.5,3.23,6.8,2.66,7.09,9.89,5.52,45.81,8.07,7.48,6.87,5.7,2.61,7.61,1.4,8.88,10.3,8.34,7.26,5.96,99.32,14.57,55436000000.0
1723,"Nihon Dengi Co., Ltd.",Technology,1595.23,2.9,18.9,,5.21,4.8,2.53,2.07,4.18,6.92,5.1,2.68,2.21,4.9,12.05,25.5,21.19,16.07,13.13,7.69,10.71,13.37,17.37,29.99,15.99,13.18,9.85,,47.36,19919000000.0
1724,Synclayer Inc.,Technology,31.49,4.24,9.68,,43.64,-60.02,57.2,-62.28,13.61,48.84,-41.92,68.66,-54.08,25.19,-5.27,3.35,5.58,5.23,4.15,-10.44,12.14,4.8,2.93,3.32,5.56,5.64,3.35,41.11,20.52,903000000.0
1736,Otec Corporation,Industrials,372.02,4.11,10.25,,10.6,7.35,6.54,0.42,8.16,12.41,9.52,7.47,2.1,9.8,16.61,15.08,12.81,6.9,7.47,7.31,6.98,12.38,12.4,21.12,11.81,6.65,6.55,92.93,31.33,11634215000.0
173A,Hammock Inc.,Technology,66.19,2.88,9.78,,13.94,5.24,7.18,-10.17,8.79,24.47,13.95,16.08,-3.81,18.17,53.6,17.07,16.81,15.65,12.72,3.86,9.93,7.23,17.02,,20.21,22.01,22.83,,43.28,4740874000.0
1758,"Taiyo Kisokogyo Co.,Ltd.",Industrials,48.02,2.74,10.33,,10.95,-1.87,13.73,-5.17,7.6,18.71,7.73,17.88,3.99,14.77,62.95,3.8,1.26,1.55,5.42,7.64,-7.48,-0.94,4.27,7.38,1.25,1.69,5.89,98.87,9.84,4052131000.0
175A,"Will Smart Co.,LTD.",Technology,13.39,0.0,,,-13.72,-2.08,2.72,-17.62,-4.36,-9.13,0.45,10.07,-12.68,0.46,194.65,-35.16,3.33,-22.13,-1.91,-25.85,33.54,-26.29,-84.01,-121.67,4.89,-30.23,-8.01,43.1,28.71,104621000.0
1762,"Takamatsu Construction Group Co., Ltd.",Industrials,1427.56,3.55,12.5,,-12.77,2.47,-9.79,-9.42,-6.7,-11.83,3.59,-7.34,-4.4,-5.19,-3.35,5.0,3.31,3.73,4.26,3.17,10.88,10.68,5.81,7.0,4.17,5.8,5.41,81.57,15.43,33920000000.0
1764,Kudo Corporation,Industrials,33.51,4.74,6.37,,89.84,7.94,-36.54,,20.41,91.48,8.77,-32.8,,22.48,-0.05,,2.3,1.7,1.41,,4.81,15.11,,,3.42,2.02,1.84,38.32,15.36,0.0
1766,Token Corporation,Real Estate,1450.89,2.97,10.55,,10.61,13.71,11.47,5.16,11.93,13.49,15.66,12.53,6.17,13.89,14.09,5.79,6.07,3.83,3.07,5.43,7.57,7.57,13.55,,11.53,7.22,5.18,,17.26,118474000000.0
1768,Sonec Corporation,Industrials,74.73,4.9,5.47,,41.29,-14.34,-35.88,25.06,-2.98,44.41,-8.75,-35.68,28.58,-0.01,-19.12,8.24,4.33,1.54,5.21,49.73,-6.08,-10.31,12.58,20.64,4.78,1.88,7.45,,12.14,4061963000.0
1770,"Fujita Engineering Co., Ltd.",Industrials,200.12,3.0,10.87,,9.42,3.47,9.39,5.8,7.43,10.19,5.64,9.87,6.6,8.57,16.96,8.8,9.04,6.76,6.39,-8.81,1.16,18.81,8.34,13.78,9.94,7.94,6.7,99.09,18.33,8269821000.0
177A,"Kohjin Bio Co., Ltd.",Healthcare,42.99,1.2,17.13,,-6.54,0.65,6.07,-2.32,0.06,16.25,21.3,19.16,10.73,18.9,101.83,6.92,19.04,12.51,26.72,-5.13,9.14,0.57,3.3,4.84,9.94,6.55,16.63,76.2,37.6,2486185000.0
1780,Yamaura Corporation,Industrials,274.74,2.57,8.89,,-9.3,-1.38,15.38,22.0,1.57,-5.85,0.29,17.78,22.68,4.07,176.2,10.51,10.93,11.53,9.8,13.79,-5.15,19.64,11.28,17.02,12.65,15.06,6.76,,18.5,8839964000.0
1783,"Fantasista Co., Ltd.",Real Estate,148.85,0.0,,,13.19,-32.48,11.19,-13.85,-2.7,16.54,-26.71,11.64,-13.73,0.49,0.87,2.25,7.97,14.2,1.5,7.0,-16.81,110.57,3.27,4.09,2.33,15.78,1.27,74.85,16.88,1784495000.0
1786,Oriental Shiraishi Corporation,Industrials,450.21,4.18,13.37,,-7.55,11.9,8.26,6.89,4.2,-0.29,17.33,11.71,9.06,9.58,-805.25,7.75,8.42,9.7,8.48,6.68,-4.2,9.6,6.51,8.9,6.73,8.6,8.27,94.63,18.1,15603000000.0
1787,"Nakabohtec Corrosion Protecting Co.,Ltd.",Industrials,121.47,4.63,11.6,,12.46,4.67,9.45,5.25,8.86,13.92,5.7,10.11,6.77,9.91,11.72,8.8,9.9,8.54,8.81,1.21,6.86,-2.67,10.42,12.07,11.67,9.83,10.91,,26.36,1278995000.0
1788,Santo Corporation,Industrials,25.61,3.94,8.67,,-22.51,-12.89,37.34,,0.65,-19.5,-11.58,40.39,,3.1,-6.43,,2.69,4.94,3.74,,6.94,2.49,,,4.44,8.15,,98.87,11.67,1589904000.0
