コード,銘柄名,市場・商品区分,__code
2354,ＹＥ　ＤＩＧＩＴＡＬ,スタンダード（内国株式）,2354
2359,コア,プライム（内国株式）,2359
2370,メディネット,グロース（内国株式）,2370
2371,カカクコム,プライム（内国株式）,2371
2373,ケア２１,スタンダード（内国株式）,2373
2375,ギグワークス,スタンダード（内国株式）,2375
2376,サイネックス,スタンダード（内国株式）,2376
2378,ルネサンス,プライム（内国株式）,2378
2379,ディップ,プライム（内国株式）,2379
2384,ＳＢＳホールディングス,プライム（内国株式）,2384
2385,総医研ホールディングス,グロース（内国株式）,2385
2388,ウェッジホールディングス,グロース（内国株式）,2388
2391,プラネット,スタンダード（内国株式）,2391
2393,日本ケアサプライ,スタンダード（内国株式）,2393
2395,新日本科学,プライム（内国株式）,2395
2404,鉄人化ホールディングス,スタンダード（内国株式）,2404
2408,ＫＧ情報,スタンダード（内国株式）,2408
2410,キャリアデザインセンター,プライム（内国株式）,2410
2411,ゲンダイエージェンシー,スタンダード（内国株式）,2411
2413,エムスリー,プライム（内国株式）,2413
2415,ヒューマンホールディングス,スタンダード（内国株式）,2415
2418,ツカダ・グローバルホールディング,スタンダード（内国株式）,2418
241A,ＲＯＸＸ,グロース（内国株式）,241A
2424,ブラス,スタンダード（内国株式）,2424
2425,ケアサービス,スタンダード（内国株式）,2425
2428,ウェルネット,スタンダード（内国株式）,2428
2429,ワールドホールディングス,プライム（内国株式）,2429
2432,ディー・エヌ・エー,プライム（内国株式）,2432
2433,博報堂ＤＹホールディングス,プライム（内国株式）,2433
2435,シダー,スタンダード（内国株式）,2435
2436,共同ピーアール,スタンダード（内国株式）,2436
2437,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,2437
2438,アスカネット,グロース（内国株式）,2438
2440,ぐるなび,スタンダード（内国株式）,2440
2445,タカミヤ,スタンダード（内国株式）,2445
2449,プラップジャパン,スタンダード（内国株式）,2449
244A,グロースエクスパートナーズ,グロース（内国株式）,244A
2454,オールアバウト,スタンダード（内国株式）,2454
2459,アウンコンサルティング,スタンダード（内国株式）,2459
245A,ＩＮＧＳ,グロース（内国株式）,245A
2461,ファンコミュニケーションズ,プライム（内国株式）,2461
2462,ライク,プライム（内国株式）,2462
2464,Ａｏｂａ‐ＢＢＴ,スタンダード（内国株式）,2464
2469,ヒビノ,スタンダード（内国株式）,2469
246A,アスア,グロース（内国株式）,246A
2471,エスプール,プライム（内国株式）,2471
2475,ＷＤＢホールディングス,プライム（内国株式）,2475
2477,手間いらず,スタンダード（内国株式）,2477
2479,ジェイテック,スタンダード（内国株式）,2479
247A,Ａｉロボティクス,グロース（内国株式）,247A
2480,システム・ロケーション,スタンダード（内国株式）,2480
2481,タウンニュース社,スタンダード（内国株式）,2481
2483,翻訳センター,スタンダード（内国株式）,2483
2484,出前館,スタンダード（内国株式）,2484
2485,ティア,スタンダード（内国株式）,2485
2488,ＪＴＰ,スタンダード（内国株式）,2488
2489,アドウェイズ,スタンダード（内国株式）,2489
248A,キッズスター,グロース（内国株式）,248A
2491,バリューコマース,プライム（内国株式）,2491
2492,インフォマート,プライム（内国株式）,2492
2493,イーサポートリンク,スタンダード（内国株式）,2493
2497,ユナイテッド,グロース（内国株式）,2497
2498,オリエンタルコンサルタンツホールディングス,スタンダード（内国株式）,2498
2499,日本和装ホールディングス,スタンダード（内国株式）,2499
2501,サッポロビール,プライム（内国株式）,2501
2502,アサヒグループホールディングス,プライム（内国株式）,2502
